operator,a95_plus,a95,a92,dp,gas
AMIC,73.07,69.94,-1,88.88,47.63
BVS,73.99,70.99,-1,86.99,47.99
Brent Oil,-1,67.99,65.99,82.99,45.99
Chipo,-1,73.88,-1,88.87,47.82
EURO5,-1,69.99,63.49,84.99,48.99
Grand Petrol,78.99,75.99,-1,88.99,47.99
Green Wave,-1,73.0,-1,87.0,46.9
KLO,77.59,73.19,71.59,89.49,48.9
Mango,-1,71.49,-1,87.49,47.49
Marshal,72.99,69.99,-1,85.99,46.32
Motto,-1,74.98,-1,85.98,49.98
Neftek,77.99,74.99,68.99,88.99,49.99
Ovis,74.9,71.99,68.99,87.99,47.99
Parallel,76.82,73.93,-1,88.05,47.3
RLS,71.9,67.9,65.9,84.9,47.9
Rodnik,-1,68.99,-1,82.99,46.99
SOCAR,76.85,73.99,-1,88.85,48.84
SUN OIL,-1,69.95,67.2,84.7,47.7
U.GO,-1,68.9,65.9,84.9,47.9
UKRNAFTA,68.9,68.9,65.9,84.9,47.9
UPG,74.9,71.9,-1,87.9,48.0
VST,-1,72.9,-1,86.9,47.9
VostokGaz,-1,73.99,-1,86.99,47.49
WOG,78.0,75.0,-1,89.9,48.99
ZOG,-1,71.0,61.0,85.0,46.0
Авантаж 7,-1,70.95,-1,86.95,45.45
Автотранс,77.98,70.98,69.98,86.98,47.98
БРСМ-Нафта,-1,68.9,-1,85.99,46.4
ДНІПРОНАФТА,-1,67.99,-1,85.32,47.99
Катрал,-1,73.99,-1,85.99,47.97
Кворум,-1,69.48,67.98,85.48,45.78
Маркет,-1,68.99,-1,86.99,45.99
ОККО,78.0,75.0,-1,89.9,49.0
Олас,-1,71.9,70.99,87.8,46.89
Рур груп,-1,74.49,72.49,87.9,48.0
СВОЇ,-1,68.49,66.49,83.49,46.99
Фактор,-1,70.0,-1,84.5,-1
